,Read number,Strand,Location of the gene in the read,Read length,Start,End
36,NC_029042-98,1,"[4161, 4162)",1827,4161,4162
37,NC_029042-98,1,"[4164, 4169)",1831,4164,4169
38,NC_029042-98,1,"[4182, 4203)",1851,4182,4203
39,NC_029042-98,1,"[4205, 4284)",1929,4205,4284
40,NC_029042-98,1,"[4370, 4441)",1999,4370,4441
41,NC_029042-98,1,"[4488, 4590)",2100,4488,4590
42,NC_029042-98,1,"[4794, 4850)",2155,4794,4850
43,NC_029042-98,1,"[4896, 5059)",2317,4896,5059
44,NC_029042-98,1,"[5062, 5238)",2492,5062,5238
45,NC_029042-98,1,"[5283, 5287)",2495,5283,5287
46,NC_029042-98,1,"[5288, 5304)",2510,5288,5304
47,NC_029042-98,1,"[5424, 5712)",2797,5424,5712
48,NC_029042-98,1,"[5812, 5814)",2798,5812,5814
49,NC_029042-98,1,"[5820, 5831)",2808,5820,5831
50,NC_029042-98,1,"[5850, 5906)",2863,5850,5906
51,NC_029042-98,1,"[5916, 5934)",2880,5916,5934
52,NC_029042-98,1,"[5951, 6120)",3048,5951,6120
53,NC_029042-98,1,"[6161, 6256)",3142,6161,6256
54,NC_029042-98,1,"[6324, 6532)",3349,6324,6532
55,NC_029042-98,1,"[6622, 6626)",3352,6622,6626
56,NC_029042-98,1,"[6630, 6743)",3464,6630,6743
57,NC_029042-98,1,"[6748, 6749)",3464,6748,6749
58,NC_029042-98,1,"[6807, 6809)",3465,6807,6809
59,NC_029042-98,1,"[6820, 6821)",3465,6820,6821
60,NC_029042-98,1,"[6822, 6837)",3479,6822,6837
61,NC_029042-98,1,"[6849, 7038)",3667,6849,7038
62,NC_029042-98,1,"[7124, 7140)",3682,7124,7140
63,NC_029042-98,1,"[7312, 7329)",3698,7312,7329
64,NC_029042-98,1,"[7333, 7344)",3708,7333,7344
65,NC_029042-98,1,"[7446, 7543)",3804,7446,7543
66,NC_029042-98,1,"[7612, 7642)",3833,7612,7642
67,NC_029042-98,1,"[7645, 7647)",3834,7645,7647
68,NC_029042-98,1,"[7649, 7650)",3834,7649,7650
69,NC_029042-98,1,"[7752, 8058)",4139,7752,8058
70,NC_029042-98,1,"[8121, 8122)",4139,8121,8122
71,NC_029042-98,1,"[8124, 8128)",4142,8124,8128
72,NC_029042-98,1,"[8133, 8364)",4372,8133,8364
73,NC_029042-98,1,"[8429, 8430)",4372,8429,8430
74,NC_029042-98,1,"[8433, 8466)",4404,8433,8466
75,NC_029042-98,1,"[8568, 8648)",4483,8568,8648
76,NC_029042-98,1,"[8736, 8772)",4518,8736,8772
77,NC_029042-98,1,"[8980, 8986)",4523,8980,8986
78,NC_029042-98,1,"[8991, 9005)",4536,8991,9005
79,NC_029042-98,1,"[9008, 9012)",4539,9008,9012
80,NC_029042-98,1,"[9180, 9588)",4946,9180,9588
81,NC_029042-98,1,"[9655, 9739)",5029,9655,9739
82,NC_029042-98,1,"[9743, 9760)",5045,9743,9760
83,NC_029042-98,1,"[9792, 9894)",5146,9792,9894
84,NC_029042-98,1,"[10098, 10114)",5161,10098,10114
85,NC_029042-98,1,"[10265, 10363)",5258,10265,10363
86,NC_029042-98,1,"[10409, 10416)",5264,10409,10416
87,NC_029042-98,1,"[10425, 10426)",5264,10425,10426
88,NC_029042-98,1,"[10443, 10504)",5324,10443,10504
89,NC_029042-98,1,"[10506, 10528)",5345,10506,10528
90,NC_029042-98,1,"[10549, 10553)",5348,10549,10553
91,NC_029042-98,1,"[10563, 10608)",5392,10563,10608
92,NC_029042-98,1,"[10914, 10997)",5474,10914,10997
93,NC_029042-98,1,"[11016, 11118)",5575,11016,11118
94,NC_029042-98,1,"[11188, 11189)",5575,11188,11189
95,NC_029042-98,1,"[11192, 11197)",5579,11192,11197
0,NC_029042-99,1,"[230, 238)",7,230,238
1,NC_029042-99,1,"[244, 251)",13,244,251
2,NC_029042-99,1,"[252, 262)",22,252,262
3,NC_029042-99,1,"[264, 267)",24,264,267
4,NC_029042-99,1,"[306, 355)",72,306,355
5,NC_029042-99,1,"[458, 459)",72,458,459
6,NC_029042-99,1,"[466, 589)",194,466,589
7,NC_029042-99,1,"[590, 592)",195,590,592
8,NC_029042-99,1,"[612, 1235)",817,612,1235
9,NC_029042-99,1,"[1236, 1245)",825,1236,1245
10,NC_029042-99,1,"[1248, 1266)",842,1248,1266
11,NC_029042-99,1,"[1267, 1298)",872,1267,1298
12,NC_029042-99,1,"[1299, 1391)",963,1299,1391
13,NC_029042-99,1,"[1409, 1421)",974,1409,1421
14,NC_029042-99,1,"[1428, 1632)",1177,1428,1632
15,NC_029042-99,1,"[1746, 1757)",1187,1746,1757
16,NC_029042-99,1,"[1759, 1771)",1198,1759,1771
17,NC_029042-99,1,"[1772, 1805)",1230,1772,1805
18,NC_029042-99,1,"[1810, 1812)",1231,1810,1812
19,NC_029042-99,1,"[1829, 1831)",1232,1829,1831
20,NC_029042-99,1,"[1853, 1863)",1241,1853,1863
21,NC_029042-99,1,"[1867, 1872)",1245,1867,1872
22,NC_029042-99,1,"[1875, 1886)",1255,1875,1886
23,NC_029042-99,1,"[1890, 1901)",1265,1890,1901
24,NC_029042-99,1,"[1902, 1903)",1265,1902,1903
25,NC_029042-99,1,"[1905, 1945)",1304,1905,1945
26,NC_029042-99,1,"[2040, 2256)",1519,2040,2256
27,NC_029042-99,1,"[2260, 2299)",1557,2260,2299
28,NC_029042-99,1,"[2346, 2432)",1642,2346,2432
29,NC_029042-99,1,"[2433, 2435)",1643,2433,2435
30,NC_029042-99,1,"[2444, 2550)",1748,2444,2550
31,NC_029042-99,1,"[2619, 2621)",1749,2619,2621
32,NC_029042-99,1,"[2623, 2624)",1749,2623,2624
33,NC_029042-99,1,"[2625, 2652)",1775,2625,2652
34,NC_029042-99,1,"[2754, 2840)",1860,2754,2840
35,NC_029042-99,1,"[2845, 2848)",1862,2845,2848
36,NC_029042-99,1,"[2856, 3468)",2473,2856,3468
37,NC_029042-99,1,"[3560, 3570)",2482,3560,3570
38,NC_029042-99,1,"[3638, 3639)",2482,3638,3639
39,NC_029042-99,1,"[3693, 3769)",2557,3693,3769
40,NC_029042-99,1,"[3770, 3773)",2559,3770,3773
41,NC_029042-99,1,"[3937, 3950)",2571,3937,3950
42,NC_029042-99,1,"[3974, 4185)",2781,3974,4185
43,NC_029042-99,1,"[4264, 4265)",2781,4264,4265
44,NC_029042-99,1,"[4266, 4284)",2798,4266,4284
45,NC_029042-99,1,"[4377, 4447)",2867,4377,4447
46,NC_029042-99,1,"[4488, 4794)",3172,4488,4794
47,NC_029042-99,1,"[4805, 4913)",3279,4805,4913
48,NC_029042-99,1,"[4971, 4973)",3280,4971,4973
49,NC_029042-99,1,"[4984, 4990)",3285,4984,4990
50,NC_029042-99,1,"[4998, 5013)",3299,4998,5013
51,NC_029042-99,1,"[5017, 5029)",3310,5017,5029
52,NC_029042-99,1,"[5145, 5303)",3467,5145,5303
53,NC_029042-99,1,"[5304, 5406)",3568,5304,5406
54,NC_029042-99,1,"[5484, 5497)",3580,5484,5497
55,NC_029042-99,1,"[5503, 5508)",3584,5503,5508
56,NC_029042-99,1,"[5698, 5707)",3592,5698,5707
57,NC_029042-99,1,"[5734, 5741)",3598,5734,5741
58,NC_029042-99,1,"[5746, 5759)",3610,5746,5759
59,NC_029042-99,1,"[5854, 5962)",3717,5854,5962
60,NC_029042-99,1,"[6018, 6080)",3778,6018,6080
61,NC_029042-99,1,"[6081, 6119)",3815,6081,6119
62,NC_029042-99,1,"[6153, 6221)",3882,6153,6221
63,NC_029042-99,1,"[6222, 6240)",3899,6222,6240
64,NC_029042-99,1,"[6241, 6298)",3955,6241,6298
65,NC_029042-99,1,"[6303, 6305)",3956,6303,6305
66,NC_029042-99,1,"[6324, 6426)",4057,6324,6426
67,NC_029042-99,1,"[6487, 6528)",4097,6487,6528
68,NC_029042-99,1,"[6630, 6704)",4170,6630,6704
69,NC_029042-99,1,"[6737, 6739)",4171,6737,6739
70,NC_029042-99,1,"[6753, 6755)",4172,6753,6755
71,NC_029042-99,1,"[6759, 6772)",4184,6759,6772
72,NC_029042-99,1,"[6804, 6931)",4310,6804,6931
73,NC_029042-99,1,"[6936, 7128)",4501,6936,7128
74,NC_029042-99,1,"[7133, 7139)",4506,7133,7139
75,NC_029042-99,1,"[7140, 7274)",4639,7140,7274
76,NC_029042-99,1,"[7344, 7752)",5046,7344,7752
77,NC_029042-99,1,"[7854, 7951)",5142,7854,7951
78,NC_029042-99,1,"[7956, 8058)",5243,7956,8058
79,NC_029042-99,1,"[8149, 8153)",5246,8149,8153
80,NC_029042-99,1,"[8262, 8340)",5323,8262,8340
81,NC_029042-99,1,"[8364, 8568)",5526,8364,8568
82,NC_029042-99,1,"[8639, 8640)",5526,8639,8640
83,NC_029042-99,1,"[8643, 8670)",5552,8643,8670
84,NC_029042-99,1,"[9078, 9081)",5554,9078,9081
85,NC_029042-99,1,"[9087, 9095)",5561,9087,9095
86,NC_029042-99,1,"[9123, 9150)",5587,9123,9150
87,NC_029042-99,1,"[9156, 9165)",5595,9156,9165
88,NC_029042-99,1,"[9188, 9300)",5706,9188,9300
89,NC_029042-99,1,"[9384, 9894)",6215,9384,9894
90,NC_029042-99,1,"[9959, 9961)",6216,9959,9961
91,NC_029042-99,1,"[9963, 10070)",6322,9963,10070
92,NC_029042-99,1,"[10094, 10098)",6325,10094,10098
93,NC_029042-99,1,"[10205, 10207)",6326,10205,10207
94,NC_029042-99,1,"[10208, 10276)",6393,10208,10276
95,NC_029042-99,1,"[10440, 10478)",6430,10440,10478
96,NC_029042-99,1,"[10483, 10484)",6430,10483,10484
97,NC_029042-99,1,"[10506, 10914)",6837,10506,10914
98,NC_029042-99,1,"[10979, 11021)",6878,10979,11021
99,NC_029042-99,1,"[11037, 11047)",6887,11037,11047
100,NC_029042-99,1,"[11118, 11424)",7192,11118,11424
101,NC_029042-99,1,"[11504, 11569)",7256,11504,11569
102,NC_029042-99,1,"[11628, 11730)",7357,11628,11730
103,NC_029042-99,1,"[11736, 11903)",7523,11736,11903
104,NC_029042-99,1,"[11934, 12062)",7650,11934,12062
105,NC_029042-99,1,"[12109, 12117)",7657,12109,12117
106,NC_029042-99,1,"[12124, 12144)",7676,12124,12144
107,NC_029042-99,1,"[12147, 12342)",7870,12147,12342
108,NC_029042-99,1,"[12385, 12414)",7898,12385,12414
109,NC_029042-99,1,"[12431, 12528)",7994,12431,12528
110,NC_029042-99,1,"[12536, 12537)",7994,12536,12537
111,NC_029042-99,1,"[12546, 12674)",8121,12546,12674
112,NC_029042-99,1,"[12676, 12687)",8131,12676,12687
113,NC_029042-99,1,"[12793, 12932)",8269,12793,12932
114,NC_029042-99,1,"[12933, 12937)",8272,12933,12937
115,NC_029042-99,1,"[12938, 12939)",8272,12938,12939
116,NC_029042-99,1,"[12954, 13083)",8400,12954,13083
117,NC_029042-99,1,"[13084, 13087)",8402,13084,13087
118,NC_029042-99,1,"[13150, 13158)",8409,13150,13158
119,NC_029042-99,1,"[13182, 13183)",8409,13182,13183
120,NC_029042-99,1,"[13224, 13225)",8409,13224,13225
121,NC_029042-99,1,"[13238, 13242)",8412,13238,13242
122,NC_029042-99,1,"[13245, 13974)",9140,13245,13974
123,NC_029042-99,1,"[14063, 14066)",9142,14063,14066
124,NC_029042-99,1,"[14068, 14076)",9149,14068,14076
125,NC_029042-99,1,"[14239, 14245)",9154,14239,14245
126,NC_029042-99,1,"[14247, 14280)",9186,14247,14280
127,NC_029042-99,1,"[14484, 14528)",9229,14484,14528
